"Step","alpha: 0.9 - val/multiplication_equation_acc","alpha: 0.9 - val/multiplication_equation_acc__MIN","alpha: 0.9 - val/multiplication_equation_acc__MAX","alpha: 0.6 - val/multiplication_equation_acc","alpha: 0.6 - val/multiplication_equation_acc__MIN","alpha: 0.6 - val/multiplication_equation_acc__MAX","alpha: 0.3 - val/multiplication_equation_acc","alpha: 0.3 - val/multiplication_equation_acc__MIN","alpha: 0.3 - val/multiplication_equation_acc__MAX","alpha: 0.1 - val/multiplication_equation_acc","alpha: 0.1 - val/multiplication_equation_acc__MIN","alpha: 0.1 - val/multiplication_equation_acc__MAX"
"0","0","0","0","0.03","0.03","0.03","0.12","0.12","0.12","0.16","0.16","0.16"
"6","0","0","0","0.01","0","0.03","0.01","0","0.03","0.015","0","0.03"
"12","0.0033333333333333335","0","0.01","0.03","0.01","0.06","0.09000000000000001","0","0.27","0.21","0","0.42"
"18","0.0033333333333333335","0","0.01","0.09666666666666668","0","0.28","0.15666666666666668","0.03","0.4","0.305","0.03","0.58"
"24","0","0","0","0.10333333333333333","0.01","0.29","0.2133333333333333","0.01","0.57","0.41","0.08","0.74"
"30","0","0","0","0.13999999999999999","0","0.35","0.27666666666666667","0.01","0.66","0.44","0.13","0.75"
"36","0.006666666666666667","0","0.01","0.20333333333333334","0.01","0.5","0.34","0.06","0.75","0.545","0.23","0.86"
"42","0.01","0.01","0.01","0.17333333333333334","0","0.39","0.33","0.01","0.79","0.615","0.36","0.87"
"48","0.016666666666666666","0.01","0.02","0.16","0.01","0.36","0.36000000000000004","0.02","0.82","0.6799999999999999","0.48","0.88"
"54","0.016666666666666666","0.01","0.02","0.25666666666666665","0.02","0.5","0.47666666666666674","0.08","0.88","0.765","0.61","0.92"
"60","0.013333333333333334","0.01","0.02","0.25666666666666665","0.07","0.52","0.5066666666666667","0.11","0.9","0.69","0.47","0.91"
"66","0.01","0.01","0.01","0.23333333333333336","0.05","0.46","0.4633333333333334","0.13","0.89","0.74","0.55","0.93"
"72","0.013333333333333334","0.01","0.02","0.33666666666666667","0.06","0.62","0.5133333333333333","0.15","0.81","0.8200000000000001","0.66","0.98"
"78","0.01","0.01","0.01","0.31","0.07","0.57","0.5166666666666667","0.14","0.81","0.8049999999999999","0.69","0.92"
"84","0.01","0.01","0.01","0.3766666666666667","0.08","0.64","0.59","0.27","0.84","0.8049999999999999","0.7","0.91"
"90","0.02666666666666667","0.02","0.03","0.38333333333333336","0.09","0.71","0.5766666666666667","0.27","0.89","0.835","0.71","0.96"
"96","0.013333333333333334","0.01","0.02","0.4266666666666667","0.09","0.76","0.6166666666666667","0.27","0.92","0.88","0.85","0.91"
"102","0.013333333333333334","0.01","0.02","0.4533333333333333","0.13","0.76","0.6633333333333334","0.35","0.91","0.895","0.86","0.93"
"108","0.016666666666666666","0.01","0.02","0.46666666666666673","0.11","0.72","0.6699999999999999","0.35","0.94","0.895","0.84","0.95"
"114","0.0033333333333333335","0","0.01","0.5433333333333333","0.18","0.89","0.6766666666666666","0.33","0.99","0.88","0.83","0.93"
"120","0.023333333333333334","0.02","0.03","0.5566666666666666","0.2","0.89","0.7200000000000001","0.33","0.97","0.935","0.93","0.94"
