"Step","Grouped runs - val/multiplication_equation_acc","Grouped runs - val/multiplication_equation_acc__MIN","Grouped runs - val/multiplication_equation_acc__MAX"
"0","0.06","0.06","0.06"
"6","0.22","0","0.66"
"12","0.27","0","0.8"
"18","0.35000000000000003","0","0.95"
"24","0.43333333333333335","0.01","0.97"
"30","0.5366666666666667","0.01","0.97"
"36","0.6033333333333333","0.01","0.95"
"42","0.5566666666666666","0.03","0.94"
"48","0.6133333333333334","0.01","0.94"
"54","0.6233333333333334","0.04","0.95"
"60","0.6666666666666666","0.16","0.94"
"66","0.6733333333333333","0.2","0.96"
"72","0.7533333333333333","0.36","0.96"
"78","0.7466666666666667","0.41","0.97"
"84","0.8333333333333334","0.57","0.97"
"90","0.7933333333333333","0.51","0.96"
"96","0.8433333333333334","0.68","0.93"
"102","0.8733333333333334","0.7","0.97"
"108","0.8966666666666666","0.73","1"
"114","0.87","0.67","1"
"120","0.8233333333333333","0.71","0.93"
"126","0.8833333333333333","0.75","0.96"
"132","0.8933333333333334","0.81","0.94"
"138","0.86","0.75","0.97"
"144","0.9","0.86","0.93"
"150","0.9166666666666666","0.81","0.99"
"156","0.9199999999999999","0.84","0.98"
"162","0.93","0.93","0.93"
"168","0.9133333333333332","0.83","0.97"
"174","0.9133333333333334","0.85","1"
"180","0.93","0.84","0.99"
"186","0.9566666666666667","0.94","0.97"
"192","0.9766666666666666","0.97","0.98"
"198","0.98","0.96","1"
"204","0.9633333333333333","0.94","0.99"
"210","0.9733333333333333","0.96","0.98"
"216","0.9766666666666666","0.96","0.99"
"222","0.9766666666666666","0.95","1"
"228","0.9666666666666667","0.95","0.99"
"234","0.9433333333333334","0.85","1"
"240","0.9700000000000001","0.92","1"
"246","0.98","0.97","0.99"
"252","0.9766666666666666","0.96","1"
"258","0.9866666666666667","0.98","1"
"264","0.9766666666666666","0.97","0.99"
"270","0.9666666666666667","0.91","1"
"276","0.9666666666666667","0.94","1"
"282","0.9666666666666667","0.94","1"
"288","0.9466666666666668","0.91","1"
"294","0.9733333333333333","0.94","1"
"300","0.9866666666666667","0.97","1"
"306","0.9866666666666667","0.97","1"
"312","0.9666666666666667","0.95","0.98"
"318","0.9833333333333334","0.95","1"
"324","0.9866666666666667","0.96","1"
"330","0.9899999999999999","0.97","1"
"336","0.9966666666666667","0.99","1"
"342","0.9899999999999999","0.97","1"
"348","0.9833333333333334","0.95","1"
"354","0.9533333333333333","0.86","1"
"360","0.98","0.95","1"
"366","0.9766666666666667","0.93","1"
"372","0.9566666666666667","0.87","1"
"378","0.9766666666666666","0.94","1"
"384","0.9433333333333334","0.89","1"
"390","0.9766666666666666","0.95","1"
"396","0.9499999999999998","0.91","0.97"
"402","0.9499999999999998","0.9","0.99"
"408","0.9199999999999999","0.9","0.96"
"414","0.9500000000000001","0.92","1"
"420","0.96","0.94","0.98"
"426","0.9566666666666667","0.91","1"
"432","0.9700000000000001","0.95","0.98"
"438","0.9700000000000001","0.95","0.99"
"444","0.9733333333333333","0.94","1"
"450","0.9666666666666667","0.95","0.98"
"456","0.9733333333333333","0.96","0.99"
"462","0.9899999999999999","0.99","0.99"
"468","0.9899999999999999","0.98","1"
"474","0.9933333333333333","0.98","1"
"480","0.9966666666666667","0.99","1"
"486","0.9833333333333334","0.96","1"
"492","0.9933333333333333","0.99","1"
"498","0.995","0.99","1"
"504","0.99","0.98","1"
"510","0.985","0.98","0.99"
"516","0.985","0.97","1"
"522","0.965","0.95","0.98"
"528","0.975","0.95","1"
"534","0.96","0.93","0.99"
"540","0.9199999999999999","0.84","1"
"546","0.9650000000000001","0.93","1"
"552","0.985","0.97","1"
"558","0.97","0.94","1"
"564","0.97","0.96","0.98"
"570","0.955","0.94","0.97"
"576","0.97","0.96","0.98"
"582","0.985","0.97","1"
"588","0.995","0.99","1"
"594","1","1","1"
"600","0.995","0.99","1"
