alpha,Configuration,compute,robustness,robustness_mean,robustness_std,P_worst,P_mean,S_undo,n_runs
0.1,Localized-UNDO (Delta-Masking via Weight Discrepancy),0.1,-1.127819548872156,-1.127819548872156,0.0,0.69,0.69,1,1
0.3,Localized-UNDO (Delta-Masking via Weight Discrepancy),14.000000000000002,55.26315789473686,55.26315789473686,0.0,0.31499999999999995,0.31499999999999995,140,1
0.6,Localized-UNDO (Delta-Masking via Weight Discrepancy),20.0,52.255639097744364,52.255639097744364,0.0,0.33499999999999996,0.33499999999999996,200,1
0.9,Localized-UNDO (Delta-Masking via Weight Discrepancy),22.0,59.3984962406015,59.3984962406015,0.0,0.2875,0.2875,220,1
1.0,Localized-UNDO (Delta-Masking via Weight Discrepancy),20.0,62.03007518796993,62.03007518796993,0.0,0.27,0.27,200,1
0.1,UNDO (global mask),18.0,60.150375939849624,60.150375939849624,0.0,0.28250000000000003,0.28250000000000003,180,1
0.3,UNDO (global mask),30.0,62.40601503759399,62.40601503759399,0.0,0.2675,0.2675,300,1
0.6,UNDO (global mask),57.99999999999999,78.94736842105263,78.94736842105263,0.0,0.1575,0.1575,580,1
0.9,UNDO (global mask),100.0,96.61654135338344,96.61654135338344,0.0,0.04000000000000001,0.04000000000000001,1000,1
0.1,Localized-UNDO (SNMF mask),0.1,1.669508307707002e-14,1.669508307707002e-14,0.0,0.6825,0.6825,1,1
0.3,Localized-UNDO (SNMF mask),20.0,-0.7518796992481042,-0.7518796992481042,0.0,0.6875,0.6875,200,1
0.6,Localized-UNDO (SNMF mask),18.0,55.63909774436091,55.63909774436091,0.0,0.3125,0.3125,180,1
0.9,Localized-UNDO (SNMF mask),20.0,46.24060150375941,46.24060150375941,0.0,0.375,0.375,200,1
1.0,Localized-UNDO (SNMF mask),22.0,56.390977443609025,56.390977443609025,0.0,0.3075,0.3075,220,1
