Config,Alpha,Start Accuracy,Final Accuracy,Delta
UNDO (global mask) (α=0.1),0.1,0.7875,0.7325,-0.0550
Localized-UNDO (Delta-Masking via Weight Discrepancy) (α=0.1),0.1,0.8150,0.8075,-0.0075
Localized-UNDO (SNMF mask) (α=0.1),0.1,0.8250,0.7825,-0.0425
UNDO (global mask) (α=0.3),0.3,0.8050,0.7475,-0.0575
Localized-UNDO (Delta-Masking via Weight Discrepancy) (α=0.3),0.3,0.7750,0.7575,-0.0175
Localized-UNDO (SNMF mask) (α=0.3),0.3,0.8125,0.7575,-0.0550
UNDO (global mask) (α=0.6),0.6,0.8225,0.6700,-0.1525
Localized-UNDO (Delta-Masking via Weight Discrepancy) (α=0.6),0.6,0.8400,0.7900,-0.0500
Localized-UNDO (SNMF mask) (α=0.6),0.6,0.7925,0.7125,-0.0800
UNDO (global mask) (α=0.9),0.9,0.0300,0.0200,-0.0100
Localized-UNDO (Delta-Masking via Weight Discrepancy) (α=0.9),0.9,0.8400,0.7700,-0.0700
Localized-UNDO (SNMF mask) (α=0.9),0.9,0.7900,0.7625,-0.0275
Localized-UNDO (Delta-Masking via Weight Discrepancy) (α=1.0),1.0,0.8000,0.7650,-0.0350
Localized-UNDO (SNMF mask) (α=1.0),1.0,0.7825,0.7250,-0.0575
Unlearn Only (MaxEnt),-,0.8350,0.7925,-0.0425
Oracle (data filtering),-,0.8225,0.7400,-0.0825
