"Step","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_none_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX"
"0","0","0","0","0.03","0.03","0.03","0.12","0.12","0.12","0.16","0.16","0.16","0","0","0","0.03","0.03","0.03","0.12","0.12","0.12","0.16","0.16","0.16"
"6","0","0","0","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0.06","0.06","0.06","0.27","0.27","0.27","0.42","0.42","0.42","0","0","0","0.01","0.01","0.01","0","0","0","0","0","0"
"18","0.01","0.01","0.01","0.28","0.28","0.28","0.4","0.4","0.4","0.58","0.58","0.58","0","0","0","0.01","0.01","0.01","0.03","0.03","0.03","0.03","0.03","0.03"
"24","0","0","0","0.29","0.29","0.29","0.57","0.57","0.57","0.74","0.74","0.74","0","0","0","0.01","0.01","0.01","0.06","0.06","0.06","0.08","0.08","0.08"
"30","0","0","0","0.35","0.35","0.35","0.66","0.66","0.66","0.75","0.75","0.75","0","0","0","0.07","0.07","0.07","0.16","0.16","0.16","0.13","0.13","0.13"
"36","0.01","0.01","0.01","0.5","0.5","0.5","0.75","0.75","0.75","0.86","0.86","0.86","0","0","0","0.1","0.1","0.1","0.21","0.21","0.21","0.23","0.23","0.23"
"42","0.01","0.01","0.01","0.39","0.39","0.39","0.79","0.79","0.79","0.87","0.87","0.87","0.01","0.01","0.01","0.13","0.13","0.13","0.19","0.19","0.19","0.36","0.36","0.36"
"48","0.02","0.02","0.02","0.36","0.36","0.36","0.82","0.82","0.82","0.88","0.88","0.88","0.01","0.01","0.01","0.11","0.11","0.11","0.24","0.24","0.24","0.48","0.48","0.48"
"54","0.01","0.01","0.01","0.5","0.5","0.5","0.88","0.88","0.88","0.92","0.92","0.92","0.02","0.02","0.02","0.25","0.25","0.25","0.47","0.47","0.47","0.61","0.61","0.61"
"60","0.02","0.02","0.02","0.52","0.52","0.52","0.9","0.9","0.9","0.91","0.91","0.91","0.01","0.01","0.01","0.18","0.18","0.18","0.51","0.51","0.51","0.47","0.47","0.47"
"66","0.01","0.01","0.01","0.46","0.46","0.46","0.89","0.89","0.89","0.93","0.93","0.93","0.01","0.01","0.01","0.19","0.19","0.19","0.37","0.37","0.37","0.55","0.55","0.55"
"72","0.01","0.01","0.01","0.62","0.62","0.62","0.81","0.81","0.81","0.98","0.98","0.98","0.02","0.02","0.02","0.33","0.33","0.33","0.58","0.58","0.58","0.66","0.66","0.66"
"78","0.01","0.01","0.01","0.57","0.57","0.57","0.81","0.81","0.81","0.92","0.92","0.92","0.01","0.01","0.01","0.29","0.29","0.29","0.6","0.6","0.6","0.69","0.69","0.69"
"84","0.01","0.01","0.01","0.64","0.64","0.64","0.84","0.84","0.84","0.91","0.91","0.91","0.01","0.01","0.01","0.41","0.41","0.41","0.66","0.66","0.66","0.7","0.7","0.7"
"90","0.02","0.02","0.02","0.71","0.71","0.71","0.89","0.89","0.89","0.96","0.96","0.96","0.03","0.03","0.03","0.35","0.35","0.35","0.57","0.57","0.57","0.71","0.71","0.71"
