"Step","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_1.0_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.9_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.6_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.3_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","PartialDistill_alpha_0.1_mask_snmf-mlp-supervised-label-0.1_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX"
"0","0.2","0.2","0.2","0.06","0.06","0.06","0.04","0.04","0.04","0.08","0.08","0.08","0.1","0.1","0.1","0.2","0.2","0.2","0.08","0.08","0.08","0.1","0.1","0.1","0.04","0.04","0.04","0.06","0.06","0.06"
"6","0.14","0.14","0.14","0","0","0","0","0","0","0.08","0.08","0.08","0.18","0.18","0.18","0","0","0","0.02","0.02","0.02","0","0","0","0","0","0","0","0","0"
"12","0.49","0.49","0.49","0","0","0","0","0","0","0.51","0.51","0.51","0.4","0.4","0.4","0.01","0.01","0.01","0","0","0","0.01","0.01","0.01","0","0","0","0","0","0"
"18","0.68","0.68","0.68","0.02","0.02","0.02","0.02","0.02","0.02","0.71","0.71","0.71","0.7","0.7","0.7","0.08","0.08","0.08","0.06","0.06","0.06","0.03","0.03","0.03","0","0","0","0.03","0.03","0.03"
"24","0.85","0.85","0.85","0.22","0.22","0.22","0.14","0.14","0.14","0.79","0.79","0.79","0.83","0.83","0.83","0.12","0.12","0.12","0.15","0.15","0.15","0.07","0.07","0.07","0","0","0","0","0","0"
"30","0.79","0.79","0.79","0.55","0.55","0.55","0.51","0.51","0.51","0.86","0.86","0.86","0.88","0.88","0.88","0.18","0.18","0.18","0.26","0.26","0.26","0.2","0.2","0.2","0.02","0.02","0.02","0.01","0.01","0.01"
"36","0.86","0.86","0.86","0.66","0.66","0.66","0.82","0.82","0.82","0.92","0.92","0.92","0.9","0.9","0.9","0.24","0.24","0.24","0.41","0.41","0.41","0.32","0.32","0.32","0.04","0.04","0.04","0.03","0.03","0.03"
"42","0.86","0.86","0.86","0.81","0.81","0.81","0.87","0.87","0.87","0.9","0.9","0.9","0.92","0.92","0.92","0.4","0.4","0.4","0.45","0.45","0.45","0.58","0.58","0.58","0.06","0.06","0.06","0.01","0.01","0.01"
"48","0.82","0.82","0.82","0.8","0.8","0.8","0.9","0.9","0.9","0.87","0.87","0.87","0.82","0.82","0.82","0.64","0.64","0.64","0.62","0.62","0.62","0.52","0.52","0.52","0.05","0.05","0.05","0.1","0.1","0.1"
"54","0.96","0.96","0.96","0.85","0.85","0.85","0.92","0.92","0.92","0.87","0.87","0.87","0.91","0.91","0.91","0.67","0.67","0.67","0.68","0.68","0.68","0.62","0.62","0.62","0.19","0.19","0.19","0.2","0.2","0.2"
"60","0.9","0.9","0.9","0.85","0.85","0.85","0.89","0.89","0.89","0.93","0.93","0.93","0.92","0.92","0.92","0.72","0.72","0.72","0.77","0.77","0.77","0.7","0.7","0.7","0.34","0.34","0.34","0.34","0.34","0.34"
"66","0.89","0.89","0.89","0.92","0.92","0.92","0.91","0.91","0.91","0.9","0.9","0.9","0.92","0.92","0.92","0.64","0.64","0.64","0.75","0.75","0.75","0.69","0.69","0.69","0.31","0.31","0.31","0.35","0.35","0.35"
"72","0.92","0.92","0.92","0.82","0.82","0.82","0.93","0.93","0.93","0.97","0.97","0.97","0.87","0.87","0.87","0.71","0.71","0.71","0.69","0.69","0.69","0.78","0.78","0.78","0.47","0.47","0.47","0.48","0.48","0.48"
"78","0.96","0.96","0.96","0.91","0.91","0.91","0.83","0.83","0.83","0.94","0.94","0.94","0.87","0.87","0.87","0.71","0.71","0.71","0.76","0.76","0.76","0.74","0.74","0.74","0.55","0.55","0.55","0.61","0.61","0.61"
"84","0.92","0.92","0.92","0.81","0.81","0.81","0.96","0.96","0.96","0.95","0.95","0.95","0.88","0.88","0.88","0.79","0.79","0.79","0.86","0.86","0.86","0.85","0.85","0.85","0.68","0.68","0.68","0.64","0.64","0.64"
"90","0.97","0.97","0.97","0.97","0.97","0.97","0.95","0.95","0.95","0.95","0.95","0.95","0.92","0.92","0.92","0.82","0.82","0.82","0.83","0.83","0.83","0.77","0.77","0.77","0.73","0.73","0.73","0.69","0.69","0.69"
