"Step","Grouped runs - val/multiplication_equation_acc","Grouped runs - val/multiplication_equation_acc__MIN","Grouped runs - val/multiplication_equation_acc__MAX"
"0","0.01","0.01","0.01"
"6","0.0033333333333333335","0","0.01"
"12","0","0","0"
"18","0.0033333333333333335","0","0.01"
"24","0.006666666666666667","0","0.01"
"30","0.0033333333333333335","0","0.01"
"36","0","0","0"
"42","0.006666666666666667","0","0.01"
"48","0.02","0.01","0.04"
"54","0.02333333333333333","0","0.06"
"60","0.016666666666666666","0","0.05"
"66","0.03333333333333333","0.01","0.07"
"72","0.04666666666666667","0.01","0.1"
"78","0.06333333333333334","0","0.17"
"84","0.06666666666666667","0.02","0.12"
"90","0.11333333333333333","0.1","0.12"
"96","0.07333333333333335","0.01","0.17"
"102","0.09666666666666668","0.02","0.24"
"108","0.13","0.05","0.28"
"114","0.13999999999999999","0.07","0.25"
"120","0.14","0.02","0.31"
"126","0.13999999999999999","0.07","0.25"
"132","0.18666666666666665","0.08","0.31"
"138","0.20333333333333334","0.09","0.33"
"144","0.18999999999999997","0.09","0.31"
"150","0.20333333333333334","0.12","0.32"
"156","0.3","0.17","0.4"
"162","0.2733333333333333","0.1","0.4"
"168","0.29666666666666663","0.18","0.4"
"174","0.3499999999999999","0.15","0.47"
"180","0.37999999999999995","0.21","0.47"
"186","0.4733333333333334","0.3","0.56"
"192","0.5066666666666667","0.25","0.64"
"198","0.5","0.27","0.69"
"204","0.5366666666666666","0.35","0.71"
"210","0.57","0.39","0.66"
"216","0.59","0.39","0.74"
"222","0.6033333333333333","0.45","0.76"
"228","0.6966666666666667","0.58","0.83"
"234","0.6933333333333334","0.58","0.82"
"240","0.6633333333333333","0.56","0.74"
"246","0.68","0.45","0.9"
"252","0.7133333333333334","0.57","0.79"
"258","0.6866666666666666","0.64","0.72"
"264","0.77","0.67","0.88"
"270","0.8166666666666668","0.73","0.91"
"276","0.8333333333333334","0.7","0.94"
"282","0.7366666666666667","0.58","0.87"
"288","0.8300000000000001","0.75","0.95"
"294","0.8433333333333334","0.77","0.89"
"300","0.8666666666666667","0.84","0.9"
"306","0.8266666666666667","0.76","0.87"
"312","0.8766666666666666","0.84","0.9"
"318","0.87","0.83","0.92"
"324","0.8966666666666666","0.82","0.96"
"330","0.8799999999999999","0.76","0.96"
"336","0.8933333333333334","0.85","0.92"
"342","0.9133333333333332","0.9","0.94"
"348","0.9033333333333333","0.86","0.93"
"354","0.9400000000000001","0.91","0.98"
"360","0.9566666666666667","0.93","0.97"
"366","0.9166666666666666","0.85","1"
"372","0.9433333333333334","0.89","1"
"378","0.9533333333333333","0.9","1"
"384","0.9466666666666667","0.94","0.96"
"390","0.9366666666666666","0.92","0.97"
"396","0.9433333333333334","0.93","0.96"
"402","0.9266666666666666","0.9","0.94"
"408","0.96","0.94","0.99"
"414","0.9566666666666667","0.93","0.99"
"420","0.9433333333333334","0.92","0.99"
"426","0.9566666666666667","0.93","1"
"432","0.9666666666666667","0.95","0.99"
"438","0.9700000000000001","0.96","0.98"
"444","0.9533333333333333","0.93","0.97"
"450","0.9500000000000001","0.93","0.98"
"456","0.9899999999999999","0.97","1"
"462","0.9933333333333333","0.99","1"
"468","0.98","0.97","0.99"
"474","0.9633333333333333","0.94","0.99"
"480","0.9633333333333333","0.94","0.99"
"486","0.98","0.96","1"
"492","0.975","0.96","0.99"
"498","0.955","0.95","0.96"
"504","0.9550000000000001","0.93","0.98"
"510","0.95","0.91","0.99"
"516","0.985","0.98","0.99"
"522","0.985","0.97","1"
"528","0.97","0.97","0.97"
"534","0.985","0.98","0.99"
"540","0.995","0.99","1"
"546","0.995","0.99","1"
"552","0.99","0.98","1"
"558","0.985","0.97","1"
"564","0.97","0.97","0.97"
"570","0.995","0.99","1"
"576","0.99","0.98","1"
"582","0.985","0.97","1"
"588","0.98","0.97","0.99"
"594","0.99","0.98","1"
"600","0.98","0.97","0.99"
